conda activate mgmt_chain
(base) dswanagon@Davids-Laptop-7 ~ % conda activate mgmt_chain
(mgmt_chain) dswanagon@Davids-Laptop-7 ~ % python "/Users/dswanagon/Relational Lysis Github/8 - Shannon Limit/exp_shannon_1_Ingestion.py" \
    --mode A \ 
    --chunk_mb 50 \
    --log mode_b_log.csv


RELATIONAL LYSIS — PHASE 1 INGESTION
Mode: A
Chunk MB: 50
Log: mode_b_log.csv

Chunk      1 | Downloaded MB=      52.4 | RSS=   240.8 MB | Peak=   240.8 MB
Chunk    139 | Downloaded MB=    7287.6 | RSS=  2582.6 MB | Peak=  2882.8 MB
Chunk    140 | Downloaded MB=    7340.0 | RSS=  2587.9 MB | Peak=  2882.8 MB
Chunk    141 | Downloaded MB=    7392.5 | RSS=  2584.0 MB | Peak=  2882.8 MB
Chunk    142 | Downloaded MB=    7444.9 | RSS=  2604.8 MB | Peak=  2882.8 MB
Chunk    143 | Downloaded MB=    7497.3 | RSS=  2579.0 MB | Peak=  2882.8 MB
Chunk    144 | Downloaded MB=    7549.7 | RSS=  2594.5 MB | Peak=  2882.8 MB
Chunk    145 | Downloaded MB=    7602.2 | RSS=  2595.9 MB | Peak=  2882.8 MB
Chunk    146 | Downloaded MB=    7654.6 | RSS=  2645.2 MB | Peak=  2882.8 MB
Chunk    147 | Downloaded MB=    7707.0 | RSS=  2660.4 MB | Peak=  2882.8 MB
Chunk    148 | Downloaded MB=    7759.5 | RSS=  2648.4 MB | Peak=  2882.8 MB
Chunk    149 | Downloaded MB=    7811.9 | RSS=  2659.2 MB | Peak=  2882.8 MB
Chunk    150 | Downloaded MB=    7864.3 | RSS=  2664.4 MB | Peak=  2882.8 MB
Chunk    151 | Downloaded MB=    7916.7 | RSS=  2687.4 MB | Peak=  2882.8 MB
Chunk    152 | Downloaded MB=    7969.2 | RSS=  2709.4 MB | Peak=  2882.8 MB
Chunk    153 | Downloaded MB=    8021.6 | RSS=  2759.5 MB | Peak=  2882.8 MB
Chunk    154 | Downloaded MB=    8074.0 | RSS=  2809.5 MB | Peak=  2882.8 MB
Chunk    155 | Downloaded MB=    8126.5 | RSS=  2843.6 MB | Peak=  2882.8 MB
Chunk    156 | Downloaded MB=    8178.9 | RSS=  2888.4 MB | Peak=  2888.4 MB
Chunk    157 | Downloaded MB=    8231.3 | RSS=  2898.4 MB | Peak=  2898.4 MB
Chunk    158 | Downloaded MB=    8283.8 | RSS=  2866.5 MB | Peak=  2898.4 MB
Chunk    159 | Downloaded MB=    8336.2 | RSS=  2848.9 MB | Peak=  2898.4 MB
Chunk    160 | Downloaded MB=    8388.6 | RSS=  2898.9 MB | Peak=  2898.9 MB
Chunk    161 | Downloaded MB=    8441.0 | RSS=  2901.2 MB | Peak=  2901.2 MB
Chunk    162 | Downloaded MB=    8493.5 | RSS=  2927.4 MB | Peak=  2927.4 MB
Chunk    163 | Downloaded MB=    8545.9 | RSS=  2935.2 MB | Peak=  2935.2 MB
Chunk    164 | Downloaded MB=    8598.3 | RSS=  2967.9 MB | Peak=  2967.9 MB
Chunk    165 | Downloaded MB=    8650.8 | RSS=  3001.5 MB | Peak=  3001.5 MB
Chunk    166 | Downloaded MB=    8703.2 | RSS=  2991.5 MB | Peak=  3001.5 MB
Chunk    167 | Downloaded MB=    8755.6 | RSS=  2993.1 MB | Peak=  3001.5 MB
Chunk    168 | Downloaded MB=    8808.0 | RSS=  2974.5 MB | Peak=  3001.5 MB
Chunk    169 | Downloaded MB=    8860.5 | RSS=  2930.2 MB | Peak=  3001.5 MB
Chunk    170 | Downloaded MB=    8912.9 | RSS=  2945.7 MB | Peak=  3001.5 MB
Chunk    171 | Downloaded MB=    8965.3 | RSS=  2952.1 MB | Peak=  3001.5 MB
Chunk    172 | Downloaded MB=    9017.8 | RSS=  2943.0 MB | Peak=  3001.5 MB
Chunk    173 | Downloaded MB=    9070.2 | RSS=  2945.0 MB | Peak=  3001.5 MB
Chunk    174 | Downloaded MB=    9122.6 | RSS=  2940.4 MB | Peak=  3001.5 MB
Chunk    175 | Downloaded MB=    9175.0 | RSS=  2990.4 MB | Peak=  3001.5 MB
Chunk    176 | Downloaded MB=    9227.5 | RSS=  3015.7 MB | Peak=  3015.7 MB
Chunk    177 | Downloaded MB=    9279.9 | RSS=  3028.5 MB | Peak=  3028.5 MB
Chunk    178 | Downloaded MB=    9332.3 | RSS=  3064.2 MB | Peak=  3064.2 MB
Chunk    179 | Downloaded MB=    9384.8 | RSS=  3076.8 MB | Peak=  3076.8 MB
Chunk    180 | Downloaded MB=    9437.2 | RSS=  3056.8 MB | Peak=  3076.8 MB
Chunk    181 | Downloaded MB=    9489.6 | RSS=  3053.4 MB | Peak=  3076.8 MB
Chunk    182 | Downloaded MB=    9542.0 | RSS=  3041.9 MB | Peak=  3076.8 MB
Chunk    183 | Downloaded MB=    9594.5 | RSS=  3091.9 MB | Peak=  3091.9 MB
Chunk    184 | Downloaded MB=    9646.9 | RSS=  3076.5 MB | Peak=  3091.9 MB
Chunk    185 | Downloaded MB=    9699.3 | RSS=  3079.7 MB | Peak=  3091.9 MB
Chunk    186 | Downloaded MB=    9751.8 | RSS=  3102.7 MB | Peak=  3102.7 MB
Chunk    187 | Downloaded MB=    9804.2 | RSS=  3133.4 MB | Peak=  3133.4 MB
Chunk    188 | Downloaded MB=    9856.6 | RSS=  3102.2 MB | Peak=  3133.4 MB
Chunk    189 | Downloaded MB=    9909.0 | RSS=  3114.7 MB | Peak=  3133.4 MB
Chunk    190 | Downloaded MB=    9961.5 | RSS=  3093.1 MB | Peak=  3133.4 MB
